Utility_Name,Fuel_Type,Lat,Lon,Stack_x,Stack_y,percentOutput_plant,percentOutput_utility
United States Coast Guard Puerto Rico,solar,-67.1305,18.498,-121,17,0.000298,0.000298
Puerto Rico Electric Pwr Authority,hydro,-66.73,18.0733,-120.988,17,0.002136,0.017174
Puerto Rico Electric Pwr Authority,hydro,-66.667,18.337,-120.988,17,0.002626,0.017174
Puerto Rico Electric Pwr Authority,hydro,-66.656,18.277,-120.988,17,0.003852,0.017174
Puerto Rico Electric Pwr Authority,hydro,-66.871,18.1105,-120.988,17,0.005952,0.017174
Puerto Rico Electric Pwr Authority,hydro,-65.794,18.268,-120.988,17,0.000875,0.017174
Puerto Rico Electric Pwr Authority,hydro,-66.019,18.017,-120.988,17,0.000245,0.017174
Puerto Rico Electric Pwr Authority,hydro,-66.488,18.1317,-120.988,17,0.001488,0.017174
Oriana Energy LLC,solar,-67.0464,18.475,-120.976,17,0.011695,0.011695
PV Properties; Inc.,solar,-66.6325,18.4264,-120.964,17,0.000175,0.004097
PV Properties; Inc.,solar,-66.35,18.4506,-120.964,17,0.000543,0.004097
PV Properties; Inc.,solar,-66.5789,18.057,-120.964,17,0.00063,0.004097
PV Properties; Inc.,solar,-65.8793,18.3772,-120.964,17,0.000175,0.004097
PV Properties; Inc.,solar,-65.8176,18.3774,-120.964,17,0.00035,0.004097
PV Properties; Inc.,solar,-66.148,17.9635,-120.964,17,0.000473,0.004097
PV Properties; Inc.,solar,-66.5504,18.06,-120.964,17,0.001751,0.004097
Punta Lima Wind Farm; LLC,wind,-65.6952,18.1899,-120.952,17,0.004097,0.004097
San Fermin Solar Farm LLC,solar,-65.9045,18.4115,-120.94,17,0.004832,0.004832
Horizon Energy LLC,solar,-66.2205,17.9793,-120.928,17,0.002644,0.002644
Pattern Operators LP,wind,-66.3932,17.9717,-120.916,17,0.01313,0.455202
Pattern Operators LP,wind,-87.3781,40.6206,-120.916,17,0.026261,0.455202
Pattern Operators LP,wind,-109.4766,45.8658,-120.916,17,0.013953,0.455202
Pattern Operators LP,wind,-94.5181,39.9814,-120.916,17,0.026261,0.455202
Pattern Operators LP,wind,-98.2994,38.8417,-120.916,17,0.035189,0.455202
Pattern Operators LP,wind,-98.6906,31.8225,-120.916,17,0.035032,0.455202
Pattern Operators LP,wind,-97.5994,27.0011,-120.916,17,0.04958,0.455202
Pattern Operators LP,wind,-101.3728,35.4428,-120.916,17,0.03181,0.455202
Pattern Operators LP,wind,-101.2531,35.4275,-120.916,17,0.038165,0.455202
Pattern Operators LP,wind,-103.0922,34.7341,-120.916,17,0.038603,0.455202
Pattern Operators LP,wind,-103.1668,34.727,-120.916,17,0.024965,0.455202
Pattern Operators LP,wind,-103.108,34.7342,-120.916,17,0.03181,0.455202
Pattern Operators LP,wind,-114.4922,39.1042,-120.916,17,0.026261,0.455202
Pattern Operators LP,wind,-116.0447,32.7528,-120.916,17,0.046464,0.455202
Pattern Operators LP,wind,-121.8036,40.8981,-120.916,17,0.017717,0.455202
CEN Juncos Solar LLC,solar,-65.9116,18.2363,-120.904,17,0.0007,0.0007
AES ILUMINA; LLC,solar,-66.1589,17.9475,-120.892,17,0.003064,0.003064
AES Puerto Rico LP,coal,-66.1499,17.9471,-120.88,17,0.079552,0.079552
Fonroche Energy America; Inc.,solar,-65.8223,18.1346,-120.868,17,0.003501,0.003501
X-Elio North America Inc,solar,-66.0924,18.4532,-120.856,17,0.000875,0.01313
X-Elio North America Inc,solar,-81.4348,33.0949,-120.856,17,0.012255,0.01313
Directorate Of Public Works USAG Fort Buchanan,solar,-66.1162,18.4084,-120.844,17,0.00112,0.00112
Citizens Enterprises Corporation,solar,-72.6144,42.0819,-120.832,17,0.000263,0.018522
Citizens Enterprises Corporation,solar,-72.5958,42.1581,-120.832,17,0.00028,0.018522
Citizens Enterprises Corporation,solar,-72.5825,42.1856,-120.832,17,0.000525,0.018522
Citizens Enterprises Corporation,solar,-72.5522,42.1503,-120.832,17,0.00035,0.018522
Citizens Enterprises Corporation,solar,-72.6642,42.0589,-120.832,17,0.000263,0.018522
Citizens Enterprises Corporation,solar,-72.7481,42.1483,-120.832,17,0.000263,0.018522
Citizens Enterprises Corporation,solar,-72.5972,42.093,-120.832,17,0.000315,0.018522
Citizens Enterprises Corporation,solar,-72.4969,42.1486,-120.832,17,0.000613,0.018522
Citizens Enterprises Corporation,solar,-72.6236,42.4461,-120.832,17,0.000263,0.018522
